,0
0,"🧑🏻 👦🏻
   🧔🏻
👩🏻   👧🏻
💻
🐦      ♫↓
省流:呱~~~嘿呀～咚咚咚咚咚咚咚咚咚咚咚哒哒哒哒哒哒呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱哈嘿哈嘿！邦~~~~嘟汪汪汪汪嘟嘟嘟嘟嘟汪汪汪汪嘟嘟嘟嘟嘟汪汪汪汪汪汪汪嘟嘟 嘿嘿嘿啊啊啊 吼！
(后面没了数自闭了)"
1,愤怒的小鸟都整了，我联名上书一个猫和老鼠他不过分吧[doge]
2,"我一直认为左边的小姐姐是最强的
因为
她的手可以一直不动！"
3,我这辈子都做不到的事情[笑哭][笑哭][笑哭]我连那个学猪叫都不像......槽
4,"愤怒的小鸟（×）
花果山（✓）[doge]"
5,所以有时候你们喜欢的那些明星真的除了脸还有什么～(￣▽￣～)~
6,他们五个是怎么……[喜极而泣][喜极而泣]怎么做到不笑的，一脸严肃的表情，尤其是中间的那个男的，一直盯着他看，哈哈哈哈哈哈，我不行了[doge][doge]
7,你们把声音关了，再看视频[doge]
8,别因为一个人是哪个国家的搞歧视啊！！
9,爸爸蹦蹦蛋糕打打打爸啦蹦，呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱，黑希黑希！
10,来一首《Tokyo hot》
11,京有口技者…[doge]
12,万人血书植物大战僵尸
13,我们用纯人声演绎了游戏《愤怒的小鸟》中的主题曲及音效。 导演：Napkins music 我们是阿卡贝拉人声组合MayTree五月树，成立于2000年。 喜欢就三连加关注吧~
14,这声音少一克肉都发不出
15,00:37 启动超级混乱模式
16,"爷青回！愤怒的小鸟太空版超好玩！
感觉现在的小孩大部分都玩王者…地铁跑酷 神庙逃亡 保卫萝卜 都挺好玩的呀……"
17,刚看很牛逼，后面很沙雕
18,开头的鸟叫着实把我吓了一跳
19,花果山内部会议资料流出[doge]
20,"🧑🏻 👦🏻
   🧔🏻
👩🏻   👧🏻
💻
🐦      ♫↓
省流:呱~~~嘿呀～咚咚咚咚咚咚咚咚咚咚咚哒哒哒哒哒哒呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱哈嘿哈嘿！邦~~~~嘟汪汪汪汪嘟嘟嘟嘟嘟汪汪汪汪嘟嘟嘟嘟嘟汪汪汪汪汪汪汪嘟嘟 嘿嘿嘿啊啊啊 吼！
(后面没了数自闭了)"
21,愤怒的小鸟都整了，我联名上书一个猫和老鼠他不过分吧[doge]
22,"我一直认为左边的小姐姐是最强的
因为
她的手可以一直不动！"
23,我这辈子都做不到的事情[笑哭][笑哭][笑哭]我连那个学猪叫都不像......槽
24,"愤怒的小鸟（×）
花果山（✓）[doge]"
25,所以有时候你们喜欢的那些明星真的除了脸还有什么～(￣▽￣～)~
26,他们五个是怎么……[喜极而泣][喜极而泣]怎么做到不笑的，一脸严肃的表情，尤其是中间的那个男的，一直盯着他看，哈哈哈哈哈哈，我不行了[doge][doge]
27,你们把声音关了，再看视频[doge]
28,别因为一个人是哪个国家的搞歧视啊！！
29,爸爸蹦蹦蛋糕打打打爸啦蹦，呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱，黑希黑希！
30,来一首《Tokyo hot》
31,京有口技者…[doge]
32,万人血书植物大战僵尸
